///Not Slugcat Playables (3504376213)///
///sprobgik.desecratinggraves-name|not slugcat playables
///sprobgik.desecratinggraves-description|there are no slugcats....
sprobgik.desecratinggraves-name|Not Slugcat Playables
sprobgik.desecratinggraves-description|Здесь нет слизнекотов...
///Ремикс
Quiet Artificial|Исскуственный — шаги
Makes The Artificial use default lizard footsteps|Использовать шаги ящерицы по умолчанию.
Artificial Heat Effect|Исскуственный — тепловой эффект
Multiplies the amount of heat generated from tongue / mouth based attacks (lower values mean less heat)|Множитель количества тепла, выделяемого при атаках языком/челюстью (чем меньше значение, тем меньше тепла).
Artificial Jet Fuel Drain|Исскуственный — топливо
Multiplies the amount of jet fuel used from jumping / air braking (lower values mean less jet fuel used)|Множитель количества топлива, расходуемого при прыжках/воздушном торможении (чем меньше значение, тем меньше расходуется топлива).
Artificial Jet Fuel Heal|Исскуственный — восстановление топлива
Multiplies the amount of jet fuel passively healed (higher values mean more jet fuel healed)|Множитель количества пассивно восстанавливаемого топлива (чем выше значение, тем больше топлива восстанавливается).
Rot Mass Effect|Гниль — эффект массы
The effect The Rot's mass has on pull / push movement (lower values means more strength)|Влияние массы Гнили на движение/толкание (чем ниже значение, тем больше сила).
Rot Max Tentacles|Гниль — количество щупалец
Amount of tentacles The Rot can have (note that rot is made with 4 tentacles in mind, may cause issues)|Количество щупалец, которые может иметь Гниль (обрати внимание, что Гниль создавалась с учётом 4 щупалец, превышение значения может вызвать проблемы).
Multiplayer Options|Мультиплеер
Multiplayer Options (options that include more than one player)|Опции мультиплеера
Scav Elite (player 0)|Элитный мусорщик (Игрок 0)
Scav Elite (player 1)|Элитный мусорщик (Игрок 1)
Scav Elite (player 2)|Элитный мусорщик (Игрок 2)
Scav Elite (player 3)|Элитный мусорщик (Игрок 3)
Makes the player's Scavenger use elite graphics|Заставляет игрока «Мусорщик» использовать элитную графику.
Scav ID (player 0)|ID Мусорщика (Игрок 0)
Scav ID (player 1)|ID Мусорщика (Игрок 1)
Scav ID (player 2)|ID Мусорщика (Игрок 2)
Scav ID (player 3)|ID Мусорщика (Игрок 3)
The ID to be used for The Scavenger|Идентификатор для Мусорщика.
///Спящее Существо
///Меню
Dream Creature|Спящее Существо
I can see you. Check your toilet.|Я тебя вижу.
I can see you through your windows. I am watching.|Я вижу тебя через твои окна. Я наблюдаю.
///Паразит
///Меню
The Parasite|Паразит
THE PARASITE|ПАРАЗИТ
Parasite|Паразит
