///The Mast (3034151966)///
themast-name|The Mast
themast-description|A new region in the form of a large transmission spire in the western area of the world.
The Mast|Мачта
Primary Transmission Node|Главный узел передачи
Marsh Flats|Болотные равнины
Scavenger Den|Логово мусорщиков
dont climb to the top of the region please dont do it for your own good i swear if you go up there you will regret it immensely for the rest of your life|не поднимайся на вершину региона пожалуйста не делай этого ради собственного блага клянусь если ты поднимешься туда то будешь безмерно сожалеть об этом всю свою оставшуюся жизнь
uh oh|ух ох
Yeek Flats|Равнины ик
Yeek Den|Логово ик
Ashen Monolith|Пепельный монолит
