///The Seeker (3508144636)///
Cute_Fatalis.IW-name|Искатель
Cute_Fatalis.IW-description|Этот злобный (вероятно) мод добавляет в кампанию персонажа, не являющегося слизнекотом. Пожалуйста, хорошенько подумайте, прежде чем устанавливать этот мод, если вы не уверены, что сможете смириться с его существованием.
///Меню
The Seeker|Искатель
THE SEEKER|ИСКАТЕЛЬ
Seeker|Искатель
An android created by some skilled iterator, 90% ironic mechanical and 10% biotic. <LINE>The steel body can withstand most generally fatal damage, but unexpected death is still a bedfellow.<LINE>Seaching for as much pearl data as possible is their only goal.|Андроид, созданный опытным итератором, на 90 % состоит из иронии и механики, а на 10 % — из биотики.<LINE>Стальной корпус может выдержать большинство смертельных повреждений, но неожиданная смерть всё равно возможна.<LINE>Его единственная цель — собрать как можно больше ценных данных.
The seeker received their new mission of '' taking a vacation''. <LINE>They don't really catch on its meaning, but taking a chaos trip again doesn't seem to be a bad choice.|Искатель получил новое задание — «взять отпуск».<LINE>Он не совсем понял, что это значит, но снова отправиться в путешествие по хаосу — не такой уж плохой выбор.
///Ремикс
///Осноные
Generic|Осноные
Generic Option|Основные настройки
Adjust the duration of damage resistance|Регулировка продолжительности защиты от урона
Cosmetic Options|Косметические настройки
Enable Halo Display|Включить отображение ореола
Only display in some iterator-related rooms|Отображать только в комнатах, связанных с итераторами
Make the halo only visible in specific rooms (FP structure, Moon's AI room and specific rooms in Metropolis)|Сделай ореол видимым только в определённых комнатах (Структура ПГ, комната Луны и некоторые комнаты в Мегаполисе).
Only display when threat is strong enough|Отображать только при наличии достаточной угрозы
Make the halo only visible when you sense obvious threat|Сделает ореол видимым только тогда, когда почувствует явную угрозу.
Change Robe Appearance|Изменить внешний вид мантии
No, you don't want to cosplay an escaped iterator puppet...don't you?|Нет, ты же не хочешь изображать сбежавшую марионетку-итератора... не так ли?
It's recommended to enjoy this feature along with iterator themed DMS skins.|Рекомендуется использовать эту функцию вместе со скинами DMS в стиле итератора.
Default robe|Мантия по умолчанию
Five Pebbles robe|Мантия Пяти Галек
Past Moon robe|Мантия Луны (Прошлое)
Shattered Moon cloak|Мантия Луны (Будущее)
NSH robe|Мантия Нет Значимых Забот
SRS robe|Мантия Семи Красных Солнц
SOS robe|Мантия Пряди Соломы
Use Slugcat Face|Исп. лицо слизнекота
///Управление
Control|Управление
Pearl Relocating Key Bind|Перемещение жемчужин
///???
Typing easter egg?|Ввести секрет?
///Имя игрока
Little visitor|Маленький посетитель
little visitor|маленький посетитель
Little guest|Маленький гость
little guest|маленький гость
///Диалоги
///Диалог Гальки
This is...unbelievable.|Это... невероятно.
No one in the local group has the similar puppet design as you.|Ни у кого в местной группе нет такой же марионетки, как у тебя.
Sorry for my cutting to the chase. Who is your creator,<LINE>and what's the intention of your journey?|Извини, что сразу перехожу к делу. Кто твой создатель и какова цель твоего путешествия?
I see. Not surprising that you chose an advanced non-vocal mean of communication.|Понятно. Неудивительно, что ты выбрал продвинутый беззвучный способ коммуникации.
I have to admit that you are an incredible creation, but your offensive behavior is unignorable.<LINE>I have been aware of your existence ever since receiving the recent break-in record<LINE>from the frontier gate of my territory.|Должен признать, что ты — невероятное создание, но твоё оскорбительное поведение невозможно игнорировать.<LINE>Я знал о твоём существовании с тех пор, как получил сообщение о недавнем взломе от пограничных ворот моей территории.
I'm occupied with a vital experiment, which is probably the only known method of releasing us from endless cycles.<LINE>So I need to avoid as much of unnecessary disruption as possible. I hope you could understand.|Я занят важным экспериментом, который, вероятно, является единственным известным способом освободить нас от бесконечных циклов.<LINE>Поэтому мне нужно по возможности избегать ненужных помех. Надеюсь, ты меня понимаешь.
By the way, I recommend you have a visit to my roof structure, where you may discover some useful data.<LINE>Since breaking into those sealed gate seems to be a piece of cake to you, there's no need to<LINE>waste time resyncing your data to my structure.|Кстати, я рекомендую тебе заглянуть в мою структуру на крыше, где ты можешь найти кое-какие полезные данные.<LINE>Поскольку взломать эти запечатанные ворота для тебя — раз плюнуть, тебе не нужно тратить время на повторную синхронизацию твоих данных с моей структурой.
I need to get back to work now. Whatever you have done, I respect you persistence to your work.<LINE>You are free to stay or ask for help as long as you wouldn't commit any severe obstructive behavior.|Мне нужно вернуться к работе. Что бы ты ни сделал, я уважаю твоё упорство в работе.<LINE>Ты можешь остаться или попросить о помощи, если не будешь вести себя вызывающе.
But I'm afraid I can't approve of your remote contact requirement, since I need to concentrate on my experiments.|Но, боюсь, я не смогу удовлетворить твоё требование о дистанционном контакте, поскольку мне нужно сосредоточиться на своих экспериментах.
Feel free to come back whenever you find imformative pearls,<LINE>I would be willing to share my information on them.|Не стесняйся возвращаться, когда найдёшь что-то полезное. Я буду рад поделиться с тобой информацией.
///Диалог Гальки
You're back. Sadly I don't have more useful information for you at the moment.|Ты вернулся. К сожалению, на данный момент у меня нет для тебя более ценной информации.
I'm sorry, but I have no more valuable information for you currently.|Извини, но на данный момент у меня нет для тебя более ценной информации.
///Диалог Луны
Hello little visitor.|Привет, маленький посетитель.
Hello little guest.|Привет, маленький гость.
So you are an android? I see...|Значит, ты андроид? Понятно...
...Remote contact? I'm willing to help, but there aren't many things I can do in current state...|...Удаленный контакт? Я готова помочь, но в нынешнем состоянии я мало что могу сделать...
And I'm not sure if my remote communication system still works. <LINE>But if you have problem contact me, you can come back here at anytime!|И я не уверена, что моя система удалённой связи всё ещё работает. Но если у тебя возникнут проблемы со связью, ты можешь вернуться сюда в любое время!
